2024/01/02 18:26:36.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:39.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:42.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:45.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:48.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:51.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:54.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:26:57.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:00.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:03.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:06.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:09.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:12.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:15.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:18.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:21.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:24.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:27.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:30.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:33.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:36.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:39.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:42.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
